PN,ASSIGNEE,value
5968734,(CNRS Centre National de la Recherche Scientifique,18222
9835552,"1087 Systems, Inc.",3994
9689024,"10X GENOMICS, INC.",12231
9694361,"10X GENOMICS, INC.",12232
9695468,"10X GENOMICS, INC.",12233
9975122,"10X GENOMICS, INC.",12237
10071377,"10X GENOMICS, INC.",12239
10137449,"10X GENOMICS, INC.",12240
10150117,"10X GENOMICS, INC.",12241
9679429,13876 Yukon Inc.,28741
6602661,"20/20 GeneSystems, Inc.",4787
6969615,"20/20 GeneSystems, Inc.",4788
7838222,"20/20 GeneSystems, Inc.",4790
8779312,"20/20 GeneSystems, Inc.",4793
6770485,"20/20 GeneSystems, Inc.",23775
6958242,"20/20 GeneSystems, Inc.",23776
7598094,"BioScale, Inc.",2430
7611908,"BioScale, Inc.",2431
7615381,"BioScale, Inc.",2432
7629137,"BioScale, Inc.",2433
7632638,"BioScale, Inc.",2434
7648844,"BioScale, Inc.",2435
7749445,"BioScale, Inc.",2436
7353695,"BioScale, Inc.",4850
8492167,"BioScale, Inc.",5803
8536037,"BioScale, Inc.",7724
9164051,"BioScale, Inc.",7725
7814652,"BioScale, Inc.",18448
4886360,Amersham International plc,5439
4889606,Amersham International plc,5458
4997278,Amersham International plc,6379
5023053,Amersham International plc,6646
5035863,Amersham International plc,6731
5047213,Amersham International plc,6828
5055265,Amersham International plc,6878
5064619,Amersham International plc,7033
5278080,Amersham International plc,9246
5458785,Amersham International plc,11387
5567811,Amersham International plc,12976
5589339,Amersham International plc,13255
5591575,Amersham International plc,13280
5665544,Amersham International plc,14439
5665562,Amersham International plc,14441
5763170,Amersham International plc,15727
5897783,Amersham International plc,17577
5948620,Amersham International plc,17976
5976369,Amersham International plc,18295
5989854,Amersham International plc,18550
4839299,Amersham International plc,4785
